yudata total ssrdata
449	21	7	2	2
Da
Ning
Ding
Wan
VH
CP
NP
MH
ML
Tai
CS
TNP
KT
DAL
HB
Wu
CH
ST
SNP
CI
JA
Pop	Ind	SSR01(F38)	SSR02(F411)	SSR03(F398)	SSR04(F436)	SSR05(FH3)	SSR06(FH10)	SSR07(FH47)	
19	XJP11	1919	0728	3147	2020	0710	2525	1010
19	XJP12	1719	1625	1745	1719	0707	2929	1010
19	XJP13	1719	0716	3153	1717	0710	2329	1010
19	XJP14	1719	1628	3145	1720	0710	2529	1010
19	XJP15	1935	2528	3131	2529	0710	2525	1010
19	XJP16	1919	2225	4547	1725	0707	2325	1010
19	XJP17	1919	0725	3131	1723	0710	2531	1010
19	XJP18	1919	0131	3145	1727	0710	2525	1010
19	XJP19	1719	0131	4949	2929	0707	2525	1010
19	XJP20	1919	0131	3131	2929	0710	2325	1010
19	XJP21	1919	0725	3133	1717	0410	2325	1010
19	XJP22	1735	2834	2931	2329	0707	2525	1010
19	XJP23	1919	2534	3133	1717	0110	2325	1010
19	XJP24	3535	2531	3133	1720	1010	2323	1013
20	I2-1	1517	100	3335	0909	1010	1325	2831
20	I2-2	0909	2840	2533	1727	1010	2929	1313
20	I2-3	0909	2834	2527	1727	1010	2525	1010
20	I2-4	0709	2840	2525	1717	1019	2529	1010
20	I2-5	0709	2828	2537	1719	1019	2525	1010
20	I2-6	0709	2828	2533	2527	1010	2525	1313
20	I2-7	0709	2828	2537	1719	1019	2525	1313
20	I2-8	0709	3440	3133	2325	1010	2525	1313
20	I2-9	0709	2834	2527	1727	1010	1325	1313
20	I2-10	0709	3440	2733	1920	1019	0125	1313
20	I2-11	0909	2834	2533	1725	1010	2525	1313
20	I2-12	0709	4040	2527	1720	1010	2525	1322
20	I2-13	0709	3440	2533	1727	1019	2525	1313
20	I2-14	0709	2828	2525	2727	1010	2525	1313
20	I2-15	0909	1928	2525	1920	1019	2525	1313
20	I2-16	0709	2834	2533	2727	1019	2325	1313
20	I2-17	0709	1922	2527	1925	1010	0125	1010
20	I2-18	1315	00	1919	1919	1010	5355	1313
20	I2-19	0909	3434	2527	1717	1919	1325	1313
20	I2-20	1519	2528	3337	2331	1019	1527	1922
20	I2-21	0709	2834	2527	1929	1019	2529	1313
20	I2-22	0709	2840	2533	2529	1010	2525	1313
20	I2-23	0909	3434	2527	2527	1919	1325	1313
20	I2-24	0709	2834	2527	1729	1010	2529	1313
21	I9-1	0709	1934	3337	2527	1010	2529	1313
21	I9-2	0709	1919	3337	2527	1010	2529	1010
21	I9-3	0709	00	2533	1725	1010	2529	1010
21	I9-4	0709	1934	3337	2325	1010	2529	1313
21	I9-5	0709	1934	00	1719	1010	0125	1313
21	I9-6	0307	3440	2323	1727	1010	2325	1313
21	I9-7	0709	3434	2333	2527	1019	2529	0707
21	I9-8	0513	3434	2333	2527	1019	2529	1313
21	I9-9	0709	00	3333	2727	1010	2525	1010
21	I9-10	0709	1313	2527	1725	1010	2525	1313
21	I9-11	0709	3737	2533	2525	1010	2525	1313
21	I9-12	0709	1037	2533	2525	1010	2525	1313
21	I9-13	0709	4040	3133	2023	1019	2525	1010
21	I9-14	0709	1313	2525	2325	1019	2525	1010
21	I9-15	0709	3131	2737	2527	1010	2525	1313
21	I9-16	0709	3437	2727	1723	1019	2525	1313
21	I9-17	0709	2231	2525	1927	1619	2525	1013
21	I9-18	0709	3134	3337	2325	1010	2531	1016
21	I9-19	0709	1337	2527	2527	1010	0125	1313
21	I9-20	0709	4343	2525	1927	1019	2525	1010
21	I9-21	0709	4040	2727	1723	1019	2525	1010
21	I9-22	0709	3131	2733	1725	1010	0125	1010
21	I9-23	0709	3131	2527	1725	1010	2525	1010
21	I9-24	0709	3737	2527	1725	1010	2525	1313
